frame,ear,threshold,mov_ear_3,mov_ear_5,mov_ear_7
0,1.0,0,,,
1,1.0,0,,,
2,1.0,0,1.0,,
3,1.0,0,1.0,1.0,
4,1.0,0,1.0,1.0,1.0
5,1.0,0,1.0,1.0,1.0
6,1.0,0,1.0,1.0,1.0
7,1.0,0,1.0,1.0,1.0
8,1.0,0,1.0,1.0,1.0
9,1.0,0,1.0,1.0,1.0
10,1.0,0,1.0,1.0,1.0
11,1.0,0,1.0,1.0,1.0
12,1.0,0,1.0,1.0,1.0
13,1.0,0,1.0,1.0,1.0
14,1.0,0,1.0,1.0,1.0
15,1.0,0,1.0,1.0,1.0
16,1.0,0,1.0,1.0,1.0
17,1.0,0,1.0,1.0,1.0
18,1.0,0,1.0,1.0,0.9428571428571431
19,1.0,0,1.0,0.9200000000000003,0.8742857142857144
20,0.6,0,0.8666666666666671,0.8240000000000002,0.8605714285714287
21,0.52,0,0.706666666666667,0.8048000000000002,0.8578285714285714
22,0.9039999999999999,0,0.674666666666667,0.8009599999999999,0.8572799999999999
23,0.9808,0,0.8015999999999993,0.8001919999999998,0.8571702857142854
24,0.9961599999999999,0,0.9603199999999994,0.8800383999999994,0.8571483428571425
25,0.999232,0,0.9920639999999992,0.9760076799999993,0.9142868114285706
26,0.9998464,0,0.9984127999999993,0.995201535999999,0.9828573622857135
27,0.99996928,0,0.9996825599999989,0.9990403071999993,0.9965714724571423
28,0.999993856,0,0.9999365119999991,0.9998080614399996,0.9993142944914284
29,0.9999987712,0,0.9999873023999998,0.999961612288,0.9998628588982855
30,0.99999975424,0,0.9999974604800007,0.9999923224576002,0.9999725717796569
31,0.999999950848,0,0.9999994920960008,0.9999984644915202,0.9999945143559315
32,0.9999999901696,0,0.9999998984191999,0.9999996928983045,0.9999989028711868
33,0.99999999803392,0,0.99999997968384,0.9999999385796613,0.9999997805742379
34,0.999999999606784,0,0.9999999959367685,0.9999999877159326,0.9999999561148475
35,0.9999999999213568,0,0.9999999991873546,0.9999999975431862,0.9999999912229691
36,0.9999999999842714,0,0.9999999998374705,0.9999999995086369,0.999999998244593
37,0.9999999999968543,0,0.9999999999674927,0.9999999999017263,0.9999999996489178
38,0.9999999999993708,0,0.9999999999934962,0.9999999999803435,0.9999999999297822
39,0.9999999999998741,0,0.9999999999986974,0.9999999999960665,0.9999999999859546
40,0.9999999999999749,0,0.9999999999997371,0.9999999999992113,0.9999999999971892
41,0.9999999999999949,0,0.9999999999999455,0.9999999999998408,0.9999999999994367
42,0.999999999999999,0,0.9999999999999881,0.9999999999999674,0.9999999999998863
43,0.9999999999999998,0,0.9999999999999977,0.9999999999999929,0.9999999999999767
44,1.0,0,1.0,0.9999999999999986,0.9999999999999949
45,1.0,0,1.0,1.0,0.999999999999999
46,1.0,0,1.0,1.0,1.0
47,1.0,0,1.0,1.0,1.0
48,1.0,0,1.0,1.0,1.0
49,1.0,0,1.0,1.0,1.0
50,1.0,0,1.0,1.0,1.0
51,1.0,0,1.0,1.0,1.0
52,1.0,0,1.0,1.0,1.0
53,1.0,0,1.0,1.0,1.0
54,1.0,0,1.0,1.0,1.0
55,1.0,0,1.0,1.0,1.0
56,1.0,0,1.0,1.0,1.0
57,1.0,0,1.0,1.0,1.0
58,1.0,0,1.0,1.0,1.0
59,1.0,0,1.0,1.0,1.0
60,1.0,0,1.0,1.0,1.0
61,1.0,0,1.0,1.0,1.0
62,1.0,0,1.0,1.0,1.0
63,1.0,0,1.0,1.0,1.0
64,1.0,0,1.0,1.0,1.0
65,1.0,0,1.0,1.0,1.0
66,1.0,0,1.0,1.0,1.0
67,1.0,0,1.0,1.0,1.0
68,1.0,0,1.0,1.0,1.0
69,1.0,0,1.0,1.0,1.0
70,1.0,0,1.0,1.0,1.0
71,1.0,0,1.0,1.0,1.0
72,1.0,0,1.0,1.0,1.0
73,1.0,0,1.0,1.0,1.0
74,1.0,0,1.0,1.0,1.0
75,1.0,0,1.0,1.0,1.0
76,1.0,0,1.0,1.0,1.0
77,1.0,0,1.0,1.0,1.0
78,1.0,0,1.0,1.0,1.0
79,1.0,0,1.0,1.0,1.0
80,1.0,0,1.0,1.0,1.0
81,1.0,0,1.0,1.0,1.0
82,1.0,0,1.0,1.0,1.0
83,1.0,0,1.0,1.0,1.0
84,1.0,0,1.0,1.0,1.0
85,1.0,0,1.0,1.0,0.8857142857142861
86,1.0,0,1.0,0.8400000000000005,0.7485714285714299
87,0.19999999999999996,0,0.7333333333333343,0.6480000000000018,0.7211428571428594
88,0.039999999999999925,0,0.4133333333333364,0.6096000000000033,0.7156571428571458
89,0.8079999999999999,1,0.34933333333333866,0.601920000000004,0.7145600000000039
90,0.9616,0,0.6032000000000058,0.6003840000000054,0.714340571428575
91,0.99232,0,0.9206400000000059,0.7600768000000044,0.7142966857142901
92,0.998464,0,0.9841280000000031,0.9520153600000043,0.8285736228571474
93,0.9996928,0,0.9968256000000034,0.9904030720000037,0.9657147245714331
94,0.99993856,0,0.9993651200000025,0.9980806144000042,0.9931429449142887
95,0.999987712,0,0.9998730240000052,0.999616122880002,0.9986285889828598
96,0.9999975424,0,0.999974604800002,0.9999232245760027,0.9997257177965732
97,0.99999950848,0,0.9999949209600013,0.9999846449152017,0.9999451435593159
98,0.999999901696,0,0.9999989841919993,0.9999969289830404,0.999989028711864
99,0.9999999803392,0,0.9999997968383999,0.9999993857966075,0.9999978057423736
100,0.99999999606784,0,0.9999999593676799,0.9999998771593226,0.9999995611484748
101,0.999999999213568,0,0.9999999918735369,0.9999999754318651,0.999999912229695
102,0.9999999998427136,0,0.9999999983747093,0.9999999950863725,0.9999999824459381
103,0.9999999999685427,0,0.9999999996749409,0.9999999990172739,0.999999996489186
104,0.9999999999937086,0,0.9999999999349853,0.9999999998034526,0.9999999992978356
105,0.9999999999987417,0,0.9999999999869923,0.9999999999606871,0.9999999998595642
106,0.9999999999997483,0,0.9999999999973946,0.9999999999921328,0.9999999999719092
107,0.9999999999999497,0,0.9999999999994742,0.9999999999984226,0.9999999999943786
108,0.9999999999999899,0,0.9999999999998911,0.9999999999996817,0.9999999999988732
109,0.999999999999998,0,0.9999999999999764,0.9999999999999346,0.9999999999997726
110,0.9999999999999996,0,0.9999999999999952,0.9999999999999858,0.9999999999999533
111,0.9999999999999999,0,1.0,0.9999999999999971,0.9999999999999899
112,1.0,0,1.0,1.0,0.999999999999998
113,1.0,0,1.0,1.0,1.0
114,1.0,0,1.0,1.0,1.0
115,1.0,0,1.0,1.0,1.0
116,1.0,0,1.0,1.0,1.0
117,1.0,0,1.0,1.0,1.0
118,1.0,0,1.0,1.0,1.0
