frame,ear,threshold,mov_ear_3,mov_ear_5,mov_ear_7
0,1.0,0,,,
1,1.0,0,,,
2,1.0,0,1.0,,
3,1.0,0,1.0,1.0,
4,1.0,0,1.0,1.0,1.0
5,1.0,0,1.0,1.0,1.0
6,1.0,0,1.0,1.0,1.0
7,1.0,0,1.0,1.0,1.0
8,1.0,0,1.0,1.0,1.0
9,1.0,0,1.0,1.0,1.0
10,1.0,0,1.0,1.0,1.0
11,1.0,0,1.0,1.0,1.0
12,1.0,0,1.0,1.0,1.0
13,1.0,0,1.0,1.0,1.0
14,1.0,0,1.0,1.0,1.0
15,1.0,0,1.0,1.0,1.0
16,1.0,0,1.0,1.0,1.0
17,1.0,0,1.0,1.0,1.0
18,1.0,0,1.0,1.0,1.0
19,1.0,0,1.0,1.0,1.0
20,1.0,0,1.0,1.0,1.0
21,1.0,0,1.0,1.0,1.0
22,1.0,0,1.0,1.0,1.0
23,1.0,0,1.0,1.0,1.0
24,1.0,0,1.0,1.0,1.0
25,1.0,0,1.0,1.0,1.0
26,1.0,0,1.0,1.0,1.0
27,1.0,0,1.0,1.0,1.0
28,1.0,0,1.0,1.0,1.0
29,1.0,0,1.0,1.0,1.0
30,1.0,0,1.0,1.0,1.0
31,1.0,0,1.0,1.0,1.0
32,1.0,0,1.0,1.0,1.0
33,1.0,0,1.0,1.0,1.0
34,1.0,0,1.0,1.0,1.0
35,1.0,0,1.0,1.0,1.0
36,1.0,0,1.0,1.0,1.0
37,1.0,0,1.0,1.0,1.0
38,1.0,0,1.0,1.0,1.0
39,1.0,0,1.0,1.0,1.0
40,1.0,0,1.0,1.0,1.0
41,1.0,0,1.0,1.0,1.0
42,1.0,0,1.0,1.0,1.0
43,1.0,0,1.0,1.0,1.0
44,1.0,0,1.0,1.0,1.0
45,1.0,0,1.0,1.0,1.0
46,1.0,0,1.0,1.0,1.0
47,1.0,0,1.0,1.0,1.0
48,1.0,0,1.0,1.0,1.0
49,1.0,0,1.0,1.0,1.0
50,1.0,0,1.0,1.0,1.0
51,1.0,0,1.0,1.0,1.0
52,1.0,0,1.0,1.0,1.0
53,1.0,0,1.0,1.0,1.0
54,1.0,0,1.0,1.0,1.0
55,1.0,0,1.0,1.0,1.0
56,1.0,0,1.0,1.0,1.0
57,1.0,0,1.0,1.0,1.0
58,1.0,0,1.0,1.0,1.0
59,1.0,0,1.0,1.0,1.0
60,1.0,0,1.0,1.0,1.0
61,1.0,0,1.0,1.0,1.0
62,1.0,0,1.0,1.0,1.0
63,1.0,0,1.0,1.0,1.0
64,1.0,0,1.0,1.0,1.0
65,1.0,0,1.0,1.0,1.0
66,1.0,0,1.0,1.0,1.0
67,1.0,0,1.0,1.0,1.0
68,1.0,0,1.0,1.0,1.0
69,1.0,0,1.0,1.0,1.0
70,1.0,0,1.0,1.0,1.0
71,1.0,0,1.0,1.0,1.0
72,1.0,0,1.0,1.0,1.0
73,1.0,0,1.0,1.0,1.0
74,1.0,0,1.0,1.0,1.0
75,1.0,0,1.0,1.0,1.0
76,1.0,0,1.0,1.0,1.0
77,1.0,0,1.0,1.0,1.0
78,1.0,0,1.0,1.0,1.0
79,1.0,0,1.0,1.0,1.0
80,1.0,0,1.0,1.0,1.0
81,1.0,0,1.0,1.0,1.0
82,1.0,0,1.0,1.0,1.0
83,1.0,0,1.0,1.0,1.0
84,1.0,0,1.0,1.0,1.0
85,1.0,0,1.0,1.0,0.8857142857142861
86,1.0,0,1.0,0.8400000000000005,0.7485714285714299
87,0.19999999999999996,0,0.7333333333333343,0.6480000000000018,0.7211428571428594
88,0.039999999999999925,0,0.4133333333333364,0.6096000000000033,0.7156571428571458
89,0.8079999999999999,1,0.34933333333333866,0.601920000000004,0.7145600000000039
90,0.9616,0,0.6032000000000058,0.6003840000000054,0.714340571428575
91,0.99232,0,0.9206400000000059,0.7600768000000044,0.7142966857142901
92,0.998464,0,0.9841280000000031,0.9520153600000043,0.8285736228571474
93,0.9996928,0,0.9968256000000034,0.9904030720000037,0.9657147245714331
94,0.99993856,0,0.9993651200000025,0.9980806144000042,0.9931429449142887
95,0.999987712,0,0.9998730240000052,0.999616122880002,0.9986285889828598
96,0.9999975424,0,0.999974604800002,0.9999232245760027,0.9997257177965732
97,0.99999950848,0,0.9999949209600013,0.9999846449152017,0.9999451435593159
98,0.999999901696,0,0.9999989841919993,0.9999969289830404,0.999989028711864
99,0.9999999803392,0,0.9999997968383999,0.9999993857966075,0.9999978057423736
100,0.99999999606784,0,0.9999999593676799,0.9999998771593226,0.9999995611484748
101,0.999999999213568,0,0.9999999918735369,0.9999999754318651,0.999999912229695
102,0.9999999998427136,0,0.9999999983747093,0.9999999950863725,0.9999999824459381
103,0.9999999999685427,0,0.9999999996749409,0.9999999990172739,0.999999996489186
104,0.9999999999937086,0,0.9999999999349853,0.9999999998034526,0.9999999992978356
105,0.9999999999987417,0,0.9999999999869923,0.9999999999606871,0.9999999998595642
106,0.9999999999997483,0,0.9999999999973946,0.9999999999921328,0.9999999999719092
107,0.9999999999999497,0,0.9999999999994742,0.9999999999984226,0.9999999999943786
108,0.9999999999999899,0,0.9999999999998911,0.9999999999996817,0.9999999999988732
109,0.999999999999998,0,0.9999999999999764,0.9999999999999346,0.9999999999997726
110,0.9999999999999996,0,0.9999999999999952,0.9999999999999858,0.9999999999999533
111,0.9999999999999999,0,1.0,0.9999999999999971,0.9999999999999899
112,1.0,0,1.0,1.0,0.999999999999998
113,1.0,0,1.0,1.0,1.0
114,1.0,0,1.0,1.0,1.0
115,1.0,0,1.0,1.0,1.0
116,1.0,0,1.0,1.0,1.0
117,1.0,0,1.0,1.0,1.0
118,1.0,0,1.0,1.0,1.0
119,1.0,0,1.0,1.0,1.0
120,1.0,0,1.0,1.0,1.0
121,1.0,0,1.0,1.0,1.0
122,1.0,0,1.0,1.0,1.0
123,1.0,0,1.0,1.0,1.0
124,1.0,0,1.0,1.0,1.0
125,1.0,0,1.0,1.0,1.0
126,1.0,0,1.0,1.0,1.0
127,1.0,0,1.0,1.0,0.999999999999998
128,1.0,0,1.0,0.9999999999999971,0.999999999999998
129,1.0,0,0.9999999999999952,0.9999999999999971,0.999999999999998
130,1.0,0,0.9999999999999952,0.9999999999999971,0.999999999999998
131,1.0,0,0.9999999999999952,0.9999999999999971,0.999999999999998
132,1.0,0,1.0,0.9999999999999971,0.999999999999998
133,1.0,0,1.0,1.0,0.999999999999998
134,1.0,0,1.0,1.0,0.8857142857142841
135,1.0,0,1.0,0.8399999999999977,0.8057142857142837
136,0.19999999999999996,0,0.7333333333333295,0.7279999999999973,0.7325714285714265
